L1,H1,L2,H2
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,0
3,9,0,0
3,10,0,0
3,11,0,0
3,12,0,0
3,13,0,0
3,14,0,0
3,15,0,0
5,4,0,0
5,5,0,0
5,6,0,0
5,7,0,0
5,8,0,0
5,9,0,0
5,10,0,0
5,11,0,0
5,12,0,0
5,13,0,0
5,14,0,0
5,15,0,0
15,4,0,0
15,5,0,0
15,6,0,0
15,7,0,0
15,8,0,0
15,9,0,0
15,10,0,0
15,11,0,0
15,12,0,0
15,13,0,0
15,14,0,0
15,15,0,0
25,4,0,0
25,5,0,0
25,6,0,0
25,7,0,0
25,8,0,0
25,9,0,0
25,10,0,0
25,11,0,0
25,12,0,0
25,13,0,0
25,14,0,0
25,15,0,0
75,4,0,0
75,5,0,0
75,6,0,0
75,7,0,0
75,8,0,0
75,9,0,0
75,10,0,0
75,11,0,0
75,12,0,0
75,13,0,0
75,14,0,0
75,15,0,0
0,0,4,4
0,0,4,5
0,0,4,6
0,0,4,7
0,0,4,8
0,0,4,9
0,0,4,10
0,0,4,11
0,0,4,12
0,0,4,13
0,0,4,14
0,0,4,15
0,0,5,4
0,0,5,5
0,0,5,6
0,0,5,7
0,0,5,8
0,0,5,9
0,0,5,10
0,0,5,11
0,0,5,12
0,0,5,13
0,0,5,14
0,0,5,15
0,0,8,4
0,0,8,5
0,0,8,6
0,0,8,7
0,0,8,8
0,0,8,9
0,0,8,10
0,0,8,11
0,0,8,12
0,0,16,5
0,0,20,5
0,0,25,5
0,0,32,5
0,0,40,5
0,0,50,5
0,0,64,5
0,0,80,4
0,0,80,5
0,0,80,6
0,0,80,7
0,0,80,8
0,0,80,9
0,0,80,10
0,0,80,11
0,0,80,12
0,0,80,13
0,0,80,14
0,0,80,15
0,0,100,4
0,0,100,5
0,0,100,6
0,0,100,7
0,0,100,8
0,0,100,9
0,0,100,10
0,0,100,11
0,0,100,12
0,0,100,13
0,0,100,14
0,0,100,15
0,0,160,4
0,0,160,5
0,0,160,6
0,0,160,7
0,0,160,8
0,0,160,9
0,0,160,10
0,0,160,11
0,0,160,12
0,0,160,13
0,0,160,14
0,0,160,15
0,0,200,4
0,0,200,5
0,0,200,6
0,0,200,7
0,0,200,8
0,0,200,9
0,0,200,10
0,0,200,11
0,0,200,12
0,0,200,13
0,0,200,14
0,0,200,15
0,0,320,4
0,0,320,5
0,0,320,6
0,0,320,7
0,0,320,8
0,0,320,9
0,0,320,10
0,0,320,11
0,0,320,12
0,0,320,13
0,0,320,14
0,0,320,15
0,0,400,4
0,0,400,5
0,0,400,6
0,0,400,7
0,0,400,8
0,0,400,9
0,0,400,10
0,0,400,11
0,0,400,12
0,0,400,13
0,0,400,14
0,0,400,15
0,0,800,4
0,0,800,5
0,0,800,6
0,0,800,7
0,0,800,8
0,0,800,9
0,0,800,10
0,0,800,11
0,0,800,12
0,0,800,13
0,0,800,14
0,0,800,15
3,4,4,4
3,4,4,6
3,4,4,8
3,4,4,10
3,4,4,12
3,4,4,14
3,4,5,4
3,4,5,6
3,4,5,8
3,4,5,10
3,4,5,12
3,4,5,14
3,4,8,4
3,4,8,6
3,4,8,8
3,4,8,10
3,4,8,12
3,4,8,14
